Library,url,postcode
Abingdon,http://www.oxfordshire.gov.uk/cms/content/abingdon-library,OX14 3LY
Adderbury,http://www.oxfordshire.gov.uk/cms/content/adderbury-library,OX17 3LS
Addlestone,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/addlestone-library,KT1 2DN
Allington Library,http://www.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=134&pcd=ME16%200PR,ME16 0PR
Ascot Durning,http://www.rbwm.gov.uk/web/libraries_ascot.htm,SL6 1RF
Ash,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/ash-library,KT1 2DN
Ash Library,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/ash-library,KT1 2DN
Ashen Drive Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=15&uprn=200000532984,DA1 3LY
Ashford,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/ashford-library,KT1 2DN
Ashford Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=1&uprn=010012859130,TN23 1AS
Ashtead,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/ashtead-library,KT1 2DN
Aylesbury Study centre,http://www.buckscc.gov.uk/bcc/libraries/Branches/aylesbury_study.page#.UtQEy9RFBiA,HP20 1UU
Aylesham Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=27&uprn=010034873752,CT3 3AJ
Bagshot,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/bagshot-village-community-library,KT1 2DN
Bampton,http://www.oxfordshire.gov.uk/cms/content/bampton-library,OX18 2NE
Banbury,http://www.oxfordshire.gov.uk/cms/content/banbury-library,OX16 5DB
Banstead,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/bagshot-village-community-library,KT1 2DN
Beare Green,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/community-links,KT1 2DN
Bearsted Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=54&uprn=200003695515,ME14 4DN
Benson,http://www.oxfordshire.gov.uk/cms/content/benson-library,OX10 6SD
Berinsfield,http://www.oxfordshire.gov.uk/cms/content/berinsfield-library,OX10 7NR
Bexhill,http://www.eastsussex.gov.uk/libraries/find/bexhill/default.htm?utm_source=librarynews&utm_medium=web&utm_content=feature-2013-01-refurbishbexhilllibrary&utm_campaign=librarynews,TN40 1DY
Bicester,http://www.oxfordshire.gov.uk/cms/content/bicester-library,OX26 6AU
Birchington Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=82&uprn=100062304334,CT7 9EG
Blackbird Leys,http://www.oxfordshire.gov.uk/cms/content/blackbird-leys-library,OX4 6HT
Bockhanger Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=2&uprn=100062561322,TN24 9JE
Bookham,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/bookham-library,KT1 2DN
Borough Green Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=91&uprn=100062551077,TN15 8BJ
Botley,http://www.oxfordshire.gov.uk/cms/content/botley-library,OX2 9LP
Boughton-under-Blean Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=75&uprn=100062626085,ME13 9AH
Bramley,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/bramley-library,KT1 2DN
Broadstairs Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=83&uprn=100062281548,CT10 2BS
Burford,http://www.oxfordshire.gov.uk/cms/content/burford-library,OX18 4QF
Byfleet,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/byfleet-community-library,KT1 2DN
Camberley,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/camberley-library,KT1 2DN
Canterbury Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=8&uprn=010033173051,CT1 2RA
Carterton,http://www.oxfordshire.gov.uk/cms/content/carterton-library,OX18 3JH
Caterham Hill,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/caterham-hill-library,KT1 2DN
Caterham Valley,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/caterham-valley-library,KT1 2DN
Catford library,https://www.lewisham.gov.uk/myservices/british-citizenship/Pages/default.aspx,SE13 6LQ
"Central library, Halifax",http://www.calderdale.gov.uk/leisure/libraries/branches/central-library.html,HX1 1UN
Charing Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=3&uprn=100062563603,TN27 0LR
Charlbury,http://www.oxfordshire.gov.uk/cms/content/charlbury-library,OX7 3PN
Cheriton Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=33&uprn=000050028955,CT19 4HB
Chertsey,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/chertsey-library,KT1 2DN
Chesham library,http://www.buckscc.gov.uk/leisure-and-culture/libraries/find-a-library/chesham-library/#.UtQOvrTTL3U,HP5 2JD
Chichester,http://www.westsussex.gov.uk/leisure/libraries/find_a_library/chichester_library.aspx,PO19 1QJ
Chinnor,http://www.oxfordshire.gov.uk/cms/content/chinnor-library,OX39 4PU
Chipping Norton,http://www.oxfordshire.gov.uk/cms/content/chipping-norton-library,OX7 5NP
Cliftonville Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=84&uprn=100062307578,CT9 3JX
Cobham,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/cobham-library,KT1 2DN
Coldharbour Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=42&uprn=100062310918,DA11 8AE
Container Library,http://www.rbwm.gov.uk/web/libraries_container.htm,SL6 1RF
Cookham,http://www.rbwm.gov.uk/web/libraries_cookham.htm,SL6 1RF
Cowley,http://www.oxfordshire.gov.uk/cms/content/cowley-library,OX4 2EZ
Cox Green,http://www.rbwm.gov.uk/web/libraries_coxgreen.htm,SL6 1RF
Coxheath Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=55&uprn=200003715387,ME17 4EH
Cranbrook Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=100&uprn=010008666369,TN17 3JT
Cranleigh,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/cranleigh-library,KT1 2DN
Crawley,http://www.westsussex.gov.uk/leisure/libraries/find_a_library/crawley_library.aspx,RH10 6HG
Crowborough,http://www.eastsussex.gov.uk/libraries/find/crowborough/default.htm,TN6 1DH
Dartford Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=14&uprn=200000533638,DA1 1EU
Dashwood Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=43&uprn=100062310738,DA11 7LZ
Datchet,http://www.rbwm.gov.uk/web/libraries_datchet.htm,SL6 1RF
Deal Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=28&uprn=100062285653,CT14 6ER
Deddington,http://www.oxfordshire.gov.uk/cms/content/deddington-library,OX15 0SH
Dedworth,http://www.rbwm.gov.uk/web/libraries_dedworth.htm,SL6 1RF
Didcot,http://www.oxfordshire.gov.uk/cms/content/didcot-library,OX11 8RU
Dittons,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/dittons-library,KT1 2DN
Dorking,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/dorking-library,KT1 2DN
Dover Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=23&uprn=010034874734,CT16 1PH
Downham Library,https://www.lewisham.gov.uk/contact-us/Pages/contact.aspx?directoryid=214&source=%2fmyservices%2flibraries%2fbranches%2fPages%2fdownham-library.aspx,BR1 5EP
East Peckham Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=92&uprn=100061176485,TN12 5AU
Eastbourne,http://www.eastsussex.gov.uk/libraries/find/eastbourne/default.htm,BN21 4TL
Edenbridge Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=63&uprn=010013772382,TN8 6BY
Egham,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/egham-library,KT1 2DN
Enquiries Direct,http://www.surreycc.gov.uk/people-and-community/libraries/information-services/enquiries-direct,KT1 2DN
Epsom,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/epsom-library,KT1 2DN
Esher,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/esher-library,KT1 2DN
Eton,http://www.rbwm.gov.uk/web/libraries_eton.htm,SL6 1RF
Eton Wick,http://www.rbwm.gov.uk/web/libraries_eton_wick.htm,SL6 1RF
Ewell,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/ewell-library,KT1 2DN
Ewell Court,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/ewell-court-library,KT1 2DN
Eynsham,http://www.oxfordshire.gov.uk/cms/content/eynsham-library,OX29 4JS
Faringdon,http://www.oxfordshire.gov.uk/cms/content/faringdon-library,SN7 7HY
Farnham,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/farnham-library,KT1 2DN
Faversham Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=76&uprn=100062380361,ME13 8DY
Fleetdown Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=16&uprn=100062313906,DA2 6JZ
Folkestone Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=32&uprn=000050040690,CT20 1HD
Forest Hill library,https://www.lewisham.gov.uk/contact-us/Pages/contact.aspx?directoryid=164&source=%2fmyservices%2flibraries%2fbranches%2fPages%2fForest-Hill-Library.aspx,SE23 3HZ
Frimley Green,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/frimley-green-library,KT1 2DN
Godalming,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/godalming-library,KT1 2DN
Goring,http://www.oxfordshire.gov.uk/cms/content/goring-library,RG8 9HA
Gravesend Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=41&uprn=100062311356,DA12 1BE
Greenhithe Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=17&uprn=200000537299,DA9 9EJ
Grove,http://www.oxfordshire.gov.uk/cms/content/grove-library,OX12 7LB
Guildford,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/guildford-library,KT1 2DN
Hadlow Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=93&uprn=200000967219,TN11 0EH
Hartley Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=64&uprn=100062316837,DA3 8EL
Haslemere,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/haslemere-library,KT1 2DN
